,City,Cloud Cover,Country,Dates,Humidity,Lat,Long,Highest Temp,Wind Speed
388,emba,0,CY,1569722531,82,34.81,32.42,69.8,5.82
389,ola,100,RU,1569722532,64,59.58,151.3,43.05,18.43
390,brunico,75,IT,1569722532,93,46.8,11.94,51.01,3.36
391,savinskiy,88,RU,1569722532,98,62.93,40.14,34.84,5.88
392,taltal,57,CL,1569722533,90,-25.41,-70.49,50.98,2.04
393,kahului,75,US,1569722533,74,20.89,-156.47,82.4,14.99
394,vaasa,100,FI,1569722533,93,63.1,21.62,43.0,2.24
395,assiniboia,100,CA,1569722534,57,49.63,-105.99,38.89,16.53
396,ballarat,100,AU,1569722534,55,-37.56,143.86,57.99,1.01
397,camopi,13,GF,1569722534,89,3.17,-52.33,73.81,3.96
398,acapulco,90,MX,1569722534,83,16.86,-99.88,78.8,23.04
399,okhotsk,100,RU,1569722535,97,59.36,143.24,35.2,21.21
400,frunze,40,KZ,1569722535,76,43.71,77.27,53.6,4.47
401,san cristobal,0,ML,1569722402,60,13.3,-4.9,80.65,8.84
402,palmas,75,BR,1569722535,78,-10.18,-48.33,77.0,8.05
403,calama,0,CL,1569722536,22,-22.46,-68.93,59.0,8.05
404,tarakan,40,ID,1569722536,79,3.3,117.63,84.2,4.7
405,ayan,0,IR,1569722536,72,38.23,44.7,43.03,3.69
406,bilibino,95,RU,1569722537,90,68.06,166.44,25.33,5.61
407,svetlogorsk,75,RU,1569722537,85,53.14,59.15,24.8,8.95
408,srednekolymsk,84,RU,1569722537,70,67.46,153.71,32.01,3.33
409,sept-iles,90,CA,1569722538,100,50.2,-66.38,48.99,3.36
410,ilhabela,96,BR,1569722538,77,-23.78,-45.36,66.93,12.33
411,prince albert,90,CA,1569722538,55,52.97,-108.38,37.99,5.82
412,roebourne,0,AU,1569722539,10,-20.77,117.15,91.99,4.83
413,elk plain,100,PL,1569722539,95,53.83,22.36,51.92,8.34
414,buraydah,0,SA,1569722540,32,26.33,43.97,80.6,2.24
415,shetpe,100,KZ,1569722540,59,44.14,52.16,52.51,10.92
416,beloha,21,MG,1569722541,87,-25.17,45.06,65.02,4.36
417,salekhard,82,RU,1569722541,84,66.54,66.62,29.04,5.95
418,madang,0,CN,1569722541,33,35.32,102.79,50.52,4.18
419,ojinaga,1,US,1569722542,54,29.56,-104.41,84.2,4.7
420,champerico,90,MX,1569722542,73,16.38,-93.6,77.0,5.82
421,moron,100,HT,1569722542,77,18.56,-74.26,82.59,10.94
422,mitchell,90,US,1569722543,54,43.71,-98.03,57.2,12.75
423,khandbari,100,NP,1569722543,95,27.38,87.21,52.3,2.33
424,sungaipenuh,51,ID,1569722544,68,-2.08,101.38,83.26,3.38
425,portland,40,US,1569721984,82,43.66,-70.25,66.99,3.36
426,coruripe,13,BR,1569722544,93,-10.12,-36.18,68.82,6.62
427,kloulklubed,75,PW,1569722545,70,7.04,134.26,86.0,4.7
428,ilulissat,0,GL,1569722545,80,69.22,-51.1,33.8,2.24
429,kapuskasing,90,CA,1569722545,80,49.42,-82.43,41.0,3.36
430,synya,100,RU,1569722546,97,65.37,58.04,35.83,7.7
431,iquitos,0,PE,1569722546,88,-3.75,-73.25,77.0,1.12
432,roxana,0,CR,1569722546,94,10.27,-83.75,71.01,2.24
433,amahai,100,ID,1569722547,77,-3.31,129.0,79.1,8.81
434,mountrath,100,IE,1569722547,96,53.0,-7.47,55.0,8.99
435,tancheng,0,CN,1569722547,36,33.44,116.55,82.02,5.48
436,jutai,43,BR,1569722547,87,-1.71,-47.89,74.38,3.98
437,san andres,0,ML,1569722419,60,13.3,-4.9,80.65,8.84
438,veraval,90,FR,1569722413,82,49.65,0.71,60.8,16.11
439,san francisco,0,ML,1569722419,60,13.3,-4.9,80.65,8.84
440,luorong,0,CN,1569722548,43,24.41,109.6,84.66,4.23
441,marzuq,99,YE,1569722507,64,14.4,46.47,71.43,2.82
442,bemidji,1,US,1569722549,70,47.48,-94.89,52.0,5.82
443,nalut,0,LY,1569722549,80,31.86,10.98,65.74,4.79
444,kimbe,57,PG,1569722550,67,-5.56,150.15,86.97,3.09
445,zonguldak,0,TR,1569722550,73,41.25,31.83,64.99,2.82
446,moree,0,AU,1569722550,13,-29.46,149.84,80.01,18.34
447,palmer,20,AU,1569722252,54,-34.85,139.16,64.99,16.11
448,havre-saint-pierre,90,CA,1569722551,93,50.23,-63.6,50.0,3.36
449,cabras,100,CO,1569722551,93,5.5,-75.6,60.01,2.57
450,porto novo,20,PT,1569722274,93,41.15,-8.61,57.0,3.36
451,hobyo,28,SO,1569722552,92,5.35,48.53,75.18,9.57
452,necochea,0,AR,1569722552,52,-38.55,-58.74,55.99,8.99
453,calvia,0,ES,1569722552,93,39.57,2.51,73.0,4.7
454,baykit,96,RU,1569722553,79,61.68,96.39,30.61,3.83
455,ondangwa,48,NA,1569722553,12,-17.91,15.98,68.0,4.7
456,kamenka,90,MD,1569722504,94,48.03,28.7,55.99,3.94
457,verkhoyansk,0,RU,1569722553,53,67.55,133.39,34.87,6.76
458,lerwick,20,GB,1569722554,87,60.15,-1.15,51.8,9.17
459,newbury,1,US,1569722554,64,42.8,-70.86,70.0,9.17
460,majene,26,ID,1569722555,82,-3.54,118.97,80.18,13.29
461,salta,0,AR,1569722555,43,-24.79,-65.41,75.2,1.81
462,ayr,0,AU,1569722346,64,-19.58,147.4,81.0,5.01
463,rey bouba,0,IR,1569722555,30,35.59,51.45,69.8,6.93
464,diffa,0,NE,1569722556,25,13.32,12.61,84.25,6.38
465,awbari,0,LY,1569722556,48,26.59,12.77,72.26,5.44
466,oktyabrskiy,0,RU,1569722556,81,55.61,37.97,48.0,4.47
467,trairi,63,BR,1569722557,91,-3.28,-39.27,73.02,6.53
468,pangoa,1,PE,1569722557,71,-12.12,-73.0,72.42,3.18
469,kropotkin,100,RU,1569722557,85,45.43,40.58,52.86,3.89
470,milkovo,0,BG,1569722558,76,41.53,24.68,64.99,4.7
471,matara,76,BI,1569722558,82,-3.48,29.48,53.09,1.41
472,maniitsoq,0,GL,1569722558,59,65.42,-52.9,43.24,10.42
473,porto santo,20,PT,1569722558,93,41.15,-8.61,57.0,3.36
474,christchurch,68,NZ,1569722412,38,-43.53,172.64,75.0,8.05
475,suratgarh,64,IN,1569722559,51,29.32,73.9,86.25,9.55
476,north platte,100,NG,1569722509,95,4.97,7.66,72.76,4.32
477,alofi,44,NU,1569722331,65,-19.06,-169.92,78.8,17.22
478,luwuk,99,ID,1569722560,69,-0.95,122.79,74.26,5.28
479,namatanai,96,PG,1569722560,72,-3.66,152.44,81.85,8.32
480,mill valley,90,NL,1569722561,82,51.68,5.78,57.99,10.29
481,manokwari,58,ID,1569722561,70,-0.87,134.08,79.64,4.83
482,hommelvik,0,NO,1569722561,87,63.41,10.8,50.0,4.0
483,tiruchchendur,40,IN,1569722561,88,8.48,78.12,80.6,2.24
484,rocha,0,UY,1569722562,95,-34.48,-54.34,47.89,7.2
485,hervey bay,20,US,1569722562,58,33.5,-93.78,84.2,9.17
486,dossor,77,KZ,1569722562,62,47.52,52.98,51.88,8.72
487,novikovo,100,RU,1569722563,70,51.15,37.89,45.69,7.09
488,praia da vitoria,0,BR,1569722563,72,-20.25,-43.81,68.0,5.82
489,qujing,0,CN,1569722563,70,25.49,103.8,64.18,8.75
490,xuddur,100,SO,1569722564,69,4.12,43.89,72.35,13.78
491,racalmas,0,HU,1569722564,100,47.02,18.94,60.01,1.12
492,batagay-alyta,38,RU,1569722564,73,67.8,130.41,19.99,3.47
493,smithers,75,CA,1569722344,49,54.78,-127.17,46.4,9.17
494,lentini,0,IT,1569722565,94,37.28,15.0,68.0,6.93
495,muravlenko,100,RU,1569722565,75,63.79,74.5,33.25,1.77
496,bima,8,ID,1569722565,32,-8.45,118.73,94.74,4.59
497,grindavik,0,IS,1569722566,81,63.84,-22.43,42.8,6.93
498,rio grande,90,US,1569722566,93,41.11,-90.4,63.0,13.87
499,salvador,40,BR,1569722566,78,-12.98,-38.48,78.8,11.41
500,yulara,30,AU,1569722567,13,-25.24,130.99,84.2,4.7
501,cape coast,0,CL,1569722567,76,-36.41,-71.9,53.6,6.93
502,namie,75,JP,1569722567,88,37.52,140.86,71.6,6.93
503,chicama,0,PE,1569722568,87,-7.84,-79.15,60.8,9.17
504,nisia floresta,0,GR,1569722568,93,39.39,21.64,59.0,2.57
505,busayra,0,JO,1569722413,88,30.74,35.61,65.76,1.28
506,boguchany,100,RU,1569722568,79,58.38,97.46,35.86,10.92
507,churapcha,76,RU,1569722569,58,62.0,132.43,37.27,11.9
508,golden,1,US,1569722569,59,39.76,-105.22,66.99,3.36
509,baturaja,21,ID,1569722569,44,-4.12,104.17,89.83,5.77
510,williston,90,US,1569722570,81,48.15,-103.62,46.4,16.11
511,alausi,87,EC,1569722570,98,-2.2,-78.83,55.09,0.92
512,foz,10,ES,1569722570,65,43.57,-7.26,62.01,8.01
513,lavrentiya,100,RU,1569722571,76,65.58,-170.99,43.77,6.15
514,hambantota,75,LK,1569722571,100,6.12,81.12,73.4,3.36
515,tsabong,0,BW,1569722571,15,-26.02,22.4,52.03,5.01
516,doha,0,QA,1569722275,70,25.29,51.53,89.6,4.7
517,prestea,100,GH,1569722572,97,5.43,-2.14,73.12,3.94
518,cumana,20,VE,1569722572,83,10.46,-64.17,80.6,11.9
519,san javier,0,ML,1569722402,60,13.3,-4.9,80.65,8.84
520,lompoc,1,US,1569722305,58,34.64,-120.46,62.6,16.11
521,vryheid,100,ZA,1569722573,37,-27.77,30.79,49.22,3.02
522,vanimo,0,PG,1569722564,70,-2.67,141.3,82.12,5.53
523,pinheiro,0,BR,1569722574,95,-2.53,-45.09,72.22,2.98
524,smidovich,0,RU,1569722574,44,48.6,133.81,59.73,18.61
525,mount isa,75,GB,1569722574,93,53.66,-1.85,55.0,11.41
526,pinega,99,RU,1569722575,96,64.7,43.39,38.8,8.48
527,ambon,90,FR,1569722575,87,47.55,-2.56,63.0,16.11
528,samana,13,EC,1569722575,97,0.12,-76.97,70.21,2.8
529,dingle,0,PH,1569722544,61,11.0,122.67,87.9,8.55
530,bone,75,DE,1569722576,76,51.97,12.14,59.0,13.87
531,bend,40,US,1569722319,93,44.06,-121.32,42.01,4.7
532,luangwa,15,MZ,1569722576,30,-15.62,30.4,59.01,3.31
533,dunedin,82,NZ,1569722577,85,-45.87,170.5,50.0,15.99
534,biltine,57,TD,1569722577,51,14.53,20.93,84.27,5.99
535,kiama,33,AU,1569722577,42,-34.67,150.86,64.4,5.82
536,conway,40,US,1569722446,94,35.09,-92.44,80.6,4.79
537,dicabisagan,100,PH,1569722578,84,17.08,122.42,82.2,6.38
538,poum,58,MK,1569722578,81,41.28,20.71,52.53,0.6
539,khurai,82,IN,1569722579,88,24.04,78.33,75.3,10.11
540,caluquembe,43,AO,1569722580,92,-13.78,14.68,56.08,3.27
